file_name,filmnr_negativnr,filnavn_a,filnavn_b
USD_UNIHIST_BREV_124259.tif,Andresen201214s1.tif,Andresen201214s1.tif,
USD_UNIHIST_BREV_124251.tif,Andresen201214s2.tif,Andresen201214s2.tif,
USD_UNIHIST_BREV_124383.tif,Anker200517f.tif,Anker200517f.tif,
USD_UNIHIST_BREV_124387.tif,Anker200517s1.tif,Anker200517s1.tif,
USD_UNIHIST_BREV_124391.tif,Anker200517s2.tif,Anker200517s2.tif,
USD_UNIHIST_BREV_124379.tif,Anker200517s3.tif,Anker200517s3.tif,
USD_UNIHIST_BREV_347460.tif,arago190833.tif,arago190833.tif,
USD_UNIHIST_BREV_347578.tif,Argelander040450s1.tif,Argelander040450s1.tif,
USD_UNIHIST_BREV_347598.tif,Argelander040450s2.tif,Argelander040450s2.tif,
USD_UNIHIST_BREV_347566.tif,Argelander040450s3.tif,Argelander040450s3.tif,
USD_UNIHIST_BREV_348361.tif,Argelander070830f.tif,Argelander070830f.tif,
USD_UNIHIST_BREV_348366.tif,Argelander070830s1.tif,Argelander070830s1.tif,
USD_UNIHIST_BREV_348370.tif,Argelander070830s2.tif,Argelander070830s2.tif,
USD_UNIHIST_BREV_348346.tif,Argelander070830s3.tif,Argelander070830s3.tif,
USD_UNIHIST_BREV_348378.tif,Argelander151025s1.tif,Argelander151025s1.tif,
USD_UNIHIST_BREV_348382.tif,Argelander151025s2.tif,Argelander151025s2.tif,
USD_UNIHIST_BREV_348386.tif,Argelander151025s3.tif,Argelander151025s3.tif,
USD_UNIHIST_BREV_348374.tif,Argelander151025s4.tif,Argelander151025s4.tif,
USD_UNIHIST_BREV_348394.tif,Argelander180226f.tif,Argelander180226f.tif,
USD_UNIHIST_BREV_348398.tif,Argelander180226s1.tif,Argelander180226s1.tif,
USD_UNIHIST_BREV_348402.tif,Argelander180226s2.tif,Argelander180226s2.tif,
USD_UNIHIST_BREV_348390.tif,Argelander180226s3.tif,Argelander180226s3.tif,
USD_UNIHIST_BREV_348518.tif,Argelander181230f.tif,Argelander181230f.tif,
USD_UNIHIST_BREV_348531.tif,Argelander181230s1.tif,Argelander181230s1.tif,
USD_UNIHIST_BREV_348538.tif,Argelander181230s2.tif,Argelander181230s2.tif,
USD_UNIHIST_BREV_348511.tif,Argelander181230s3.tif,Argelander181230s3.tif,
USD_UNIHIST_BREV_351606.tif,Argelander260826f.tif,Argelander260826f.tif,
USD_UNIHIST_BREV_351622.tif,Argelander260826s1.tif,Argelander260826s1.tif,
USD_UNIHIST_BREV_351638.tif,Argelander260826s2.tif,Argelander260826s2.tif,
USD_UNIHIST_BREV_351651.tif,Argelander260826s3.tif,Argelander260826s3.tif,
USD_UNIHIST_BREV_351668.tif,Argelander260826s4.tif,Argelander260826s4.tif,
USD_UNIHIST_BREV_351596.tif,Argelander260826s5.tif,Argelander260826s5.tif,
USD_UNIHIST_BREV_360257.tif,Argelander270626s1.tif,Argelander270626s1.tif,
USD_UNIHIST_BREV_360279.tif,Argelander270626s2.tif,Argelander270626s2.tif,
USD_UNIHIST_BREV_360301.tif,Argelander270626s3.tif,Argelander270626s3.tif,
USD_UNIHIST_BREV_360235.tif,Argelander270626s4.tif,Argelander270626s4.tif,
USD_UNIHIST_BREV_362668.tif,Arnold_Dent060337f.tif,Arnold_Dent060337f.tif,
USD_UNIHIST_BREV_362672.tif,Arnold_Dent060337s1.tif,Arnold_Dent060337s1.tif,
USD_UNIHIST_BREV_362656.tif,Arnold_Dent060337s2.tif,Arnold_Dent060337s2.tif,
USD_UNIHIST_BREV_363130.tif,Arnold_Dent120337f.tif,Arnold_Dent120337f.tif,
USD_UNIHIST_BREV_363117.tif,Arnold_Dent120337s1.tif,Arnold_Dent120337s1.tif,
USD_UNIHIST_BREV_124423.tif,Askengren120957s1.tif,Askengren120957s1.tif,
USD_UNIHIST_BREV_124427.tif,Askengren120957s2.tif,Askengren120957s2.tif,
USD_UNIHIST_BREV_124419.tif,Askengren120957s3.tif,Askengren120957s3.tif,
USD_UNIHIST_BREV_124399.tif,Autenrieth081162s1.tif,Autenrieth081162s1.tif,
USD_UNIHIST_BREV_124395.tif,Autenrieth081162s2.tif,Autenrieth081162s2.tif,
USD_UNIHIST_BREV_124263.tif,Bache121057s1.tif,Bache121057s1.tif,
USD_UNIHIST_BREV_124267.tif,Bache201157s1.tif,Bache201157s1.tif,
USD_UNIHIST_BREV_124275.tif,Bache211255s1.tif,Bache211255s1.tif,
USD_UNIHIST_BREV_124271.tif,Bache211255s2.tif,Bache211255s2.tif,
USD_UNIHIST_BREV_124279.tif,Bache291159s1.tif,Bache291159s1.tif,
USD_UNIHIST_BREV_2022110.tif,Baeyer010964b.tif,Baeyer010964b.tif,
USD_UNIHIST_BREV_2042953.tif,Baeyer010964b.tif,,Baeyer010964b_2.tif
USD_UNIHIST_BREV_2022114.tif,Baeyer010964f.tif,Baeyer010964f.tif,
USD_UNIHIST_BREV_2042957.tif,Baeyer010964f.tif,,Baeyer010964f_2.tif
USD_UNIHIST_BREV_2022106.tif,Baeyer010964s1.tif,Baeyer010964s1.tif,
USD_UNIHIST_BREV_2042949.tif,Baeyer010964s1.tif,,Baeyer010964s1_2.tif
USD_UNIHIST_BREV_1827409.tif,Baeyer260662b.tif,Baeyer260662b.tif,
USD_UNIHIST_BREV_1827413.tif,Baeyer260662f.tif,Baeyer260662f.tif,
USD_UNIHIST_BREV_1827417.tif,Baeyer260662s1.tif,Baeyer260662s1.tif,
USD_UNIHIST_BREV_1827421.tif,Baeyer260662s2.tif,Baeyer260662s2.tif,
USD_UNIHIST_BREV_1827425.tif,Baeyer260662s3.tif,Baeyer260662s3.tif,
USD_UNIHIST_BREV_1827429.tif,Baeyer260662v1s1.tif,Baeyer260662v1s1.tif,
USD_UNIHIST_BREV_1827433.tif,Baeyer260662v1s2.tif,Baeyer260662v1s2.tif,
USD_UNIHIST_BREV_1827437.tif,Baeyer260662v1s3.tif,Baeyer260662v1s3.tif,
USD_UNIHIST_BREV_1827441.tif,Baeyer260662v1s4.tif,Baeyer260662v1s4.tif,
USD_UNIHIST_BREV_1827445.tif,Baeyer260662v1s5.tif,Baeyer260662v1s5.tif,
USD_UNIHIST_BREV_1827449.tif,Baeyer260662v1s6.tif,Baeyer260662v1s6.tif,
USD_UNIHIST_BREV_1827405.tif,Baeyer260662v1s7.tif,Baeyer260662v1s7.tif,
USD_UNIHIST_BREV_111299.tif,Balfur290663s1.tif,Balfur290663s1.tif,
USD_UNIHIST_BREV_124407.tif,Banks140919f.tif,Banks140919f.tif,
USD_UNIHIST_BREV_124411.tif,Banks140919s1.tif,Banks140919s1.tif,
USD_UNIHIST_BREV_124403.tif,Banks140919s2.tif,Banks140919s2.tif,
USD_UNIHIST_BREV_124415.tif,Banks140919v1s1.tif,Banks140919v1s1.tif,
USD_UNIHIST_BREV_124287.tif,Barlow150131f.tif,Barlow150131f.tif,
USD_UNIHIST_BREV_124291.tif,Barlow150131s1.tif,Barlow150131s1.tif,
USD_UNIHIST_BREV_124283.tif,Barlow150131s2.tif,Barlow150131s2.tif,
USD_UNIHIST_BREV_124296.tif,Barlow180227s1.tif,Barlow180227s1.tif,
USD_UNIHIST_BREV_124304.tif,Barlow270328f.tif,Barlow270328f.tif,
USD_UNIHIST_BREV_124308.tif,Barlow270328s1.tif,Barlow270328s1.tif,
USD_UNIHIST_BREV_124312.tif,Barlow270328s2.tif,Barlow270328s2.tif,
USD_UNIHIST_BREV_124300.tif,Barlow270328s3.tif,Barlow270328s3.tif,
USD_UNIHIST_BREV_2022118.tif,Barrat050750s1.tif,Barrat050750s1.tif,
USD_UNIHIST_BREV_120374.tif,Barth200324f.tif,Barth200324f.tif,
USD_UNIHIST_BREV_120378.tif,Barth200324s1.tif,Barth200324s1.tif,
